,name,training data,sp+1,sp,ewp,lsp,fdd,fwp,long,tdd+1,tdd,lat,slope,elev,aspect,labels,random
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss25_tdp75,baseline-ACP-training-base,base,13.347,12.928,11.659,9.888,9.592,9.518,9.083,8.363,8.352,7.25,0.02,0.001,0.0,,
ACP-training-base_rfm_e50_md14_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.601,14.572,14.057,7.913,8.901,9.926,6.955,8.657,8.052,7.362,0.004,0.0,0.0,,
ACP-training-base_rfm_e1_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.9,12.254,12.035,9.824,9.471,10.274,9.562,7.616,8.2,6.843,0.019,0.001,0.0,,
ACP-training-base_rfm_e25_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.177,12.865,11.779,9.906,9.718,9.579,9.137,8.195,8.376,7.243,0.023,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mf8_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,12.824,12.045,11.295,10.524,10.024,9.998,8.952,8.722,8.42,7.006,0.188,0.002,0.001,,
ACP-training-base_rfm_e50_md17_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.839,13.541,13.078,8.907,9.119,9.581,8.065,8.467,8.361,7.03,0.012,0.0,0.0,,
ACP-training-base_rfm_e12_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.279,12.678,11.591,9.883,9.71,9.559,9.269,8.243,8.458,7.309,0.022,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mf5_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,12.629,11.917,11.571,10.361,9.975,9.935,8.75,8.766,8.61,6.983,0.488,0.014,0.001,,
ACP-training-base_rfm_e100_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.295,12.939,11.776,10.016,9.545,9.432,9.115,8.261,8.307,7.291,0.02,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl1_mss5_tdp75,baseline-ACP-training-base,base,13.283,12.851,11.789,9.935,9.617,9.622,9.085,8.219,8.31,7.265,0.022,0.002,0.001,,
ACP-training-base_rfm_e50_md11_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.601,15.096,15.774,7.284,8.42,9.89,5.929,8.77,7.154,7.081,0.0,0.0,0.0,,
ACP-training-base_rfm_e4_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.533,12.464,11.885,9.803,9.506,9.977,9.299,7.993,8.485,7.025,0.027,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp25,baseline-ACP-training-base,base,13.176,12.836,11.692,9.863,9.67,9.664,9.033,8.232,8.441,7.343,0.041,0.005,0.003,,
ACP-training-base_rfm_e50_md12_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.149,15.158,15.002,7.543,8.498,9.724,6.243,8.988,7.59,7.105,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss7_tdp75,baseline-ACP-training-base,base,13.239,12.875,11.563,10.016,9.668,9.471,9.084,8.298,8.359,7.405,0.021,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl4_mss5_tdp75,baseline-ACP-training-base,base,13.31,12.938,11.697,9.916,9.586,9.462,9.12,8.311,8.359,7.277,0.022,0.001,0.001,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss15_tdp75,baseline-ACP-training-base,base,13.166,12.712,11.794,9.888,9.661,9.674,9.051,8.089,8.513,7.427,0.024,0.001,0.0,,
ACP-training-base_rfm_e50_md8_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,14.426,16.731,18.489,5.445,8.696,10.4,2.695,9.764,6.815,6.539,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mf12_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.396,12.324,11.646,10.176,9.716,9.849,9.194,8.219,8.332,7.108,0.039,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp50,baseline-ACP-training-base,base,13.154,12.665,11.961,9.797,9.7,9.776,8.949,8.018,8.579,7.373,0.025,0.002,0.001,,
