,mean difference,variance of difference,mean absolute difference,variance of absolute difference,training time (hours)
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,-0.0026814851856463463,3.0399940454083247,1.1460350482793569,1.7266049038864568,0.5680365366666666
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,-0.003107759999426145,2.9765616554333967,1.1464013497053347,1.662335258999387,0.56473915
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,-0.003107759999426145,2.9765616554333967,1.1464013497053347,1.662335258999387,0.56473915
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,-0.0011272854096887775,2.948702964336544,1.160473230716313,1.6020061158997827,1.8746272755555555
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,-0.0011272854096887161,2.948702964336544,1.160473230716313,1.6020061158997827,1.8827538177777783
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,-0.0011991707221144586,2.941877155979814,1.163442500142158,1.5882801428531967,1.8761192552777781
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,-0.0025260235134452955,3.1179737317266056,1.171311709475261,1.7460089917675448,1.2212151488888892
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,-0.0025806493031312354,3.1014629241894043,1.1735602167185295,1.7242260016757842,1.2241950083333333
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,-0.002566604978802486,3.1016595723899947,1.1736249367852754,1.7242706676068609,1.2319899819444444
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,-0.002299071282916849,3.1991541464370674,1.1901547556565666,1.7826910897538883,0.2684544977777777
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,-0.0022990712829168746,3.199154146437067,1.1901547556565666,1.7826910897538883,0.26907161555555553
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,-0.0023515594780099468,3.1765404734896827,1.1921291274174783,1.7553741468844954,0.2688740680555555
