,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error,hp_changed
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss2_tdp75.joblib,ACP-training-base.yml,1.311087138,-0.003866554,0.853271169,0.017904932,00:41.8,0.979240723,59:50.5,2.253867443,3.972801977,mss
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss7_tdp75.joblib,ACP-training-base.yml,1.337084068,-0.003395785,0.869135737,0.019100411,00:41.9,0.978183468,59:58.3,2.38735575,4.175138024,mss
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss10_tdp75.joblib,ACP-training-base.yml,1.34600734,-0.004144603,0.875596062,0.017577819,00:41.8,0.977961225,59:48.5,2.405945698,4.217664281,mss
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss15_tdp75.joblib,ACP-training-base.yml,1.345532562,-0.003534123,0.877991324,0.017516686,00:42.0,0.978163081,59:55.8,2.368593309,4.179038694,mss
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss25_tdp75.joblib,ACP-training-base.yml,1.337165724,-0.003690267,0.869688622,0.018985028,00:41.3,0.97818539,59:51.9,2.386769608,4.174768163,mss
ACP-training-base_rfm_e50_md1_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.723578179,0.001585035,7.264969398,1.591098634,00:14.4,0.088766042,10:54.9,79.83987661,174.3878467,md
ACP-training-base_rfm_e50_md2_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.453134957,-0.000136156,7.041358681,1.390084891,00:14.7,0.127169779,16:22.9,77.67655451,167.038315,md
ACP-training-base_rfm_e50_md3_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.234747531,0.001273493,6.91051593,1.443232975,00:15.5,0.170995874,22:33.6,73.37051249,158.6510728,md
ACP-training-base_rfm_e50_md4_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.004559118,0.000434688,6.645372391,1.383906089,00:17.0,0.209536649,27:30.8,70.19322959,151.2753143,md
ACP-training-base_rfm_e50_md5_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.718468065,0.002829649,6.368523925,1.209335035,00:17.8,0.249789152,33:01.0,67.56028654,143.5719639,md
ACP-training-base_rfm_e50_md6_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.452084392,-0.001075224,6.108588067,1.149030699,00:18.5,0.285439817,37:21.1,65.31157759,136.749307,md
ACP-training-base_rfm_e50_md7_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.235433117,-0.000572965,5.904497745,0.960416228,00:19.5,0.320004996,43:34.3,62.31202141,130.1343797,md
ACP-training-base_rfm_e50_md8_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.845059663,0.000794691,5.627574512,0.811579298,00:21.9,0.377532594,48:15.3,57.58004636,119.1250068,md
ACP-training-base_rfm_e50_md9_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.530587474,-0.005230717,5.261339403,0.756087967,00:22.1,0.416780197,52:59.4,54.90423039,111.6139507,md
ACP-training-base_rfm_e50_md10_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.062700052,0.002636948,4.894544197,0.690338455,00:22.9,0.48018013,58:22.8,49.59905261,99.48077768,md
ACP-training-base_rfm_e50_md11_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,6.667879395,-0.002324997,4.574627002,0.549600965,00:23.7,0.527533693,03:29.2,45.95785745,90.41846767,md
ACP-training-base_rfm_e50_md12_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,6.311832775,0.000289581,4.236007332,0.41616894,00:24.9,0.566823243,09:00.4,43.06018305,82.89941595,md
ACP-training-base_rfm_e50_md13_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,5.969638368,-0.000412838,3.947031616,0.311167269,00:26.5,0.601523573,14:17.8,40.62204088,76.25862296,md
ACP-training-base_rfm_e50_md14_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,5.506972676,-0.000685658,3.540382194,0.243352102,00:27.8,0.65076901,18:53.2,36.50750537,66.83425295,md
ACP-training-base_rfm_e50_md15_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,4.871529758,-0.000925549,3.094201331,0.194515886,00:29.5,0.721717596,22:50.7,29.52463037,53.25643169,md
ACP-training-base_rfm_e50_md16_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,4.464743949,-0.000394659,2.730681224,0.146629702,00:30.1,0.757865493,28:02.9,26.40467236,46.33861074,md
ACP-training-base_rfm_e50_md17_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,4.112089061,-0.002690406,2.378232433,0.096432936,00:34.5,0.783977123,32:09.1,24.43220841,41.34147762,md
ACP-training-base_rfm_e50_md18_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,3.789571558,-0.001233214,2.068363637,0.079715718,00:32.9,0.806390121,36:02.8,22.69133361,37.05218469,md
ACP-training-base_rfm_e50_md19_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,3.309664075,-0.001840557,1.723901287,0.076043471,00:35.3,0.847971002,40:48.6,18.14074844,29.09462134,md
ACP-training-base_rfm_e50_md20_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,2.932766363,-0.002333814,1.423105332,0.062414198,00:36.2,0.875105767,43:17.0,15.30057704,23.90169014,md
ACP-training-base_rfm_e50_md30_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.372525312,-0.003808776,0.861007857,0.024444586,00:40.9,0.976154209,57:18.3,2.679674379,4.563485603,md
ACP-training-base_rfm_e50_md40_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.36187076,-0.003899056,0.882368757,0.018612055,00:42.8,0.977335199,01:16.0,2.482795447,4.337472212,md
ACP-training-base_rfm_e50_md50_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.33786786,-0.004337632,0.867642718,0.017745517,00:41.7,0.978211756,58:51.6,2.379845602,4.169717197,md
ACP-training-base_rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.299895112,-0.003323677,0.841810524,0.018709566,00:40.9,0.97952907,59:57.2,2.227906994,3.91762325,md
ACP-training-base_rfm_e50_md70_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.320968873,-0.003974707,0.85969536,0.018912506,00:43.0,0.978910494,59:24.1,2.29105594,4.035998904,md
ACP-training-base_rfm_e50_md80_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.331688689,-0.004088771,0.869906782,0.017420612,00:43.3,0.978652545,00:24.0,2.311984942,4.085362988,md
ACP-training-base_rfm_e50_md90_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.316358217,-0.004839751,0.85672874,0.018820554,00:42.8,0.979088159,01:04.0,2.269214991,4.001990523,md
ACP-training-base_rfm_e50_md17_mfAUTO_msl8_mss5_tdp75.joblib,ACP-training-base.yml,4.632839126,-0.000879003,2.777126533,0.131282027,00:29.6,0.734460655,27:37.6,29.35452505,50.81772265,md
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl1_mss5_tdp75.joblib,ACP-training-base.yml,1.34088069,-0.004881384,0.87562462,0.016563512,00:26.2,0.978607338,21:42.5,2.296070202,4.094007399,msl
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl4_mss5_tdp75.joblib,ACP-training-base.yml,1.355944103,-0.003998951,0.882112884,0.018656318,00:26.7,0.977839247,21:31.0,2.402440587,4.241009007,msl
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl12_mss5_tdp75.joblib,ACP-training-base.yml,1.312366798,-0.003502113,0.846316916,0.019689219,00:26.0,0.97880539,21:45.8,2.333822316,4.056116664,msl
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl16_mss5_tdp75.joblib,ACP-training-base.yml,1.334048482,-0.003729787,0.858065159,0.020365437,00:26.1,0.977745903,21:38.0,2.479203518,4.258874959,msl
