,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e50_md1_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.723578178698956,0.00158503526649338,7.26496939774889,1.5910986335750565,0:00:14.413210,0.08876604171783542,0:10:54.933440,79.83987661388845,174.3878466988216
ACP-training-base_rfm_e50_md2_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.453134956894798,-0.00013615634156255102,7.041358681162645,1.3900848908817272,0:00:14.683897,0.12716977888170078,0:16:22.911092,77.67655451426407,167.0383150089919
ACP-training-base_rfm_e50_md3_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.234747531027077,0.0012734926714590277,6.910515930360891,1.443232975113986,0:00:15.509523,0.17099587375547165,0:22:33.613671,73.37051249495688,158.6510728349838
ACP-training-base_rfm_e50_md4_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,9.004559117676168,0.00043468818461655465,6.64537239074707,1.3839060888442505,0:00:17.020102,0.20953664923985948,0:27:30.770862,70.19322959308398,151.27531430785527
ACP-training-base_rfm_e50_md5_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.718468064910875,0.002829649160305922,6.368523925425074,1.2093350349777836,0:00:17.783818,0.24978915173113891,0:33:01.017137,67.56028653588713,143.57196392784343
ACP-training-base_rfm_e50_md6_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.452084392244776,-0.0010752241264560126,6.108588066724684,1.1490306992533235,0:00:18.497907,0.2854398174078191,0:37:21.068039,65.31157759427221,136.74930701179315
ACP-training-base_rfm_e50_md7_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,8.23543311688964,-0.0005729646549742204,5.90449774514013,0.9604162280956943,0:00:19.459021,0.32000499597994925,0:43:34.293040,62.31202140949534,130.13437970396944
ACP-training-base_rfm_e50_md8_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.845059663096739,0.0007946911193567654,5.627574511719008,0.8115792978074401,0:00:21.897792,0.3775325942466557,0:48:15.258638,57.58004635914119,119.1250068451545
ACP-training-base_rfm_e50_md9_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.530587474282352,-0.005230717259549136,5.261339403477338,0.756087966857926,0:00:22.093866,0.41678019699160485,0:52:59.433040,54.90423039251884,111.61395073993457
ACP-training-base_rfm_e50_md10_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,7.062700051959781,0.0026369477619399267,4.894544197243179,0.6903384549529905,0:00:22.896446,0.48018012972562085,0:58:22.823955,49.59905260929787,99.48077767975711
