,name,training data,lsp,sp+1,fdd,ewp,fwp,tdd,sp,tdd+1,lat,long,slope,aspect,elev,random,labels
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl16_mss5_tdp75,baseline-msl16,base,14.668,13.198,11.456,11.42,11.084,10.411,9.425,8.144,5.148,5.024,0.018,0.002,0.002,,
SP-rf-training-set_rfm_e50_md100_mf8_mln50000_msl8_mss5_tdp75,baseline-mf8,base,14.148,12.285,11.501,11.771,11.021,10.498,9.722,8.227,5.859,4.882,0.073,0.005,0.007,,
no-lt-10_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,no-lt-10,21.458,18.431,12.903,15.667,15.77,,15.769,,,,,,,,
no-max_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,no-max,19.45,,17.03,,15.808,15.657,,13.631,9.11,8.951,0.307,0.022,0.035,,
SP-rf-training-set_rfm_e50_md18_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md18,base,14.536,13.343,11.245,11.982,11.074,10.887,9.028,7.753,5.224,4.915,0.011,0.001,0.001,,
SP-rf-training-set_rfm_e50_md9_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md9,base,13.294,12.031,11.828,11.509,9.694,14.413,8.376,8.741,6.295,3.818,0.0,0.0,0.0,,
no-geolocation_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp,baseline-no-geolocation,no-geolocation,17.203,14.046,12.056,12.517,12.563,11.11,11.621,8.716,,,0.15,0.008,0.012,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln100000_msl8_mss5_tdp75,baseline-mln100000,base,14.597,12.801,11.621,11.985,11.2,10.59,8.946,8.023,5.111,5.098,0.022,0.003,0.004,,
without-elevation_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp,baseline-tdp,without-elevation,14.699,13.267,11.239,11.602,11.244,10.558,9.269,7.826,5.201,5.095,,,,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,base,14.606,13.122,11.486,11.747,11.204,10.497,9.089,7.981,5.136,5.106,0.018,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln37500_msl8_mss5_tdp75,baseline-mln37500,base,14.673,13.192,11.28,11.749,10.857,10.57,9.087,8.158,5.264,5.139,0.025,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss2_tdp75,baseline-mss2,base,14.742,13.175,11.41,11.492,11.053,10.495,9.367,8.003,5.213,5.022,0.022,0.003,0.004,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl12_mss5_tdp75,baseline-msl12,base,14.749,13.226,11.187,11.601,11.023,10.626,9.34,7.93,5.197,5.097,0.02,0.002,0.003,,
